"","id","weight","week","bi.week","state","county.fips","predicted.vote.prob","senate.topline","governor.topline","biden.approval","presvote2020","pid","ideology","most.important.problem","abortion.policy","age","race","gender","hispanic","education"
"1",118158155235,0.120637446184075,43,22,"PA",NA,0.109731727325669,NA,NA,"Somewhat approve","dnv/other","Independent","Liberal","Climate change",NA,59,"white","male",FALSE,"Post graduate degree"
"2",118157935453,1.72107734136768,43,22,"PA","34029",0.990678234816098,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Crime and safety",NA,83,"white","male",FALSE,"Some college"
"3",118158176148,0.380730987677523,43,22,"PA","36061",0.987737237158546,"Democrat","Democrat","Somewhat approve","dem","Democrat","Very liberal","Abortion",NA,60,"white","male",FALSE,"Post graduate degree"
"4",118159127460,0.203467653159597,43,22,"PA","36055",0.257395385874661,"Democrat","Democrat","Somewhat approve","dem","Democrat","Very conservative","Guns",NA,60,"black","female",FALSE,"High school or G.E.D."
"5",118159752075,0.809350380334742,43,22,"PA","42007",0.690767582600391,"Republican","Republican","Strongly disapprove","rep","Republican","Moderate","Inflation",NA,44,"white","female",FALSE,"Some college"
"6",118159742401,0.490623577832397,43,22,"PA","42007",0.986385081221888,"Democrat","Democrat","Somewhat approve","dem","Independent","Moderate","Abortion",NA,44,"white","male",FALSE,"College graduate"
"7",118158726349,0.276994351858148,43,22,"PA","42007",0.7376833884174,"Republican","Republican","Strongly disapprove","rep","Independent","Moderate","Crime and safety",NA,51,"white","female",FALSE,"College graduate"
"8",118159155182,0.874555394104511,43,22,"PA","42129",0.991951170566929,"Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,71,"white","female",FALSE,"Some college"
"9",118157681620,0.375937122905785,43,22,"PA","42003",0.990478856953529,"Democrat","Democrat","Somewhat disapprove","dem","Democrat","Liberal","Climate change",NA,50,"white","female",FALSE,"College graduate"
"10",118159683791,1.17784325612739,43,22,"PA","42125",0.981738752569017,"Democrat","Democrat","Somewhat approve","dnv/other","Republican","Conservative","Crime and safety",NA,50,"black","male",FALSE,"Post graduate degree"
"11",118158820507,0.89338978571144,43,22,"PA","42003",0.987115713251506,"Democrat","Democrat","Strongly approve","dem","Independent","Moderate","Abortion",NA,66,"white","male",FALSE,"High school or G.E.D."
"12",118158732465,0.912291289509418,43,22,"PA","42003",0.989343780587473,"Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Guns",NA,55,"white","male",FALSE,"Associate's degree"
"13",118158543897,0.377056135653364,43,22,"PA","42003",0.988776891050894,"Republican","Republican","Strongly disapprove","rep","Republican","Moderate","Crime and safety",NA,57,"white","male",FALSE,"College graduate"
"14",118158238251,0.370527235064494,43,22,"PA","42003",0.989978616619076,"Democrat","Democrat","Somewhat approve","dem","Democrat","Liberal","Climate change",NA,74,"white","male",FALSE,"Post graduate degree"
"15",118158670940,0.899779051095372,43,22,"PA","42007",0.990960564551253,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Inflation",NA,58,"white","female",FALSE,"Associate's degree"
"16",118158579349,0.659388039590132,43,22,"PA","42007",0.715080219951534,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Inflation",NA,61,"white","male",FALSE,"Some college"
"17",118157819441,0.884601995772369,43,22,"PA","42007",0.992617190060257,"Democrat","Democrat","Somewhat approve","dem","Democrat","Moderate","Guns",NA,71,"white","female",FALSE,"Associate's degree"
"18",118157933892,0.371585272130524,43,22,"PA","42003",0.98959520579547,"Republican","Republican","Strongly disapprove","rep","Independent","Conservative","Inflation",NA,50,"white","female",FALSE,"Post graduate degree"
"19",118159041873,0.883836409866287,43,22,"PA","42003",0.987115713251506,"Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,67,"white","male",FALSE,"High school or G.E.D."
"20",118159867382,0.678898933431308,43,22,"PA","42007",0.7476969701921,"Republican","Republican","Strongly disapprove","rep","Independent","Very conservative","Crime and safety",NA,53,"white","female",FALSE,"Some college"
"21",118157929642,0.310418308292378,43,22,"PA","42129",0.262103974429539,"Other/Would not Vote","Other/Would not Vote","Somewhat approve","dem","Republican","Moderate","Crime and safety",NA,40,"white","female",FALSE,"High school or G.E.D."
"22",118158607902,0.908782522426437,43,22,"PA","42003",0.98553866161835,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Abortion",NA,60,"white","male",FALSE,"High school or G.E.D."
"23",118159581162,0.264146013526774,43,22,"PA","42003",0.685278745496719,"Democrat","Democrat","Somewhat disapprove","dem","Independent","Moderate","Climate change",NA,57,"white","male",FALSE,"Post graduate degree"
"24",118157789907,0.789038307417384,43,22,"PA","42003",0.975082472659413,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Inflation",NA,22,"white","male",FALSE,"College graduate"
"25",118159156845,0.0816094379206658,43,22,"PA","42003",0.0436105499309944,NA,NA,"Somewhat approve","dnv/other","Independent","Moderate","Climate change",NA,34,"asian","male",FALSE,"Post graduate degree"
"26",118159821451,0.582856214560962,43,22,"PA","42003",0.979933193236096,"Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,39,"white","male",FALSE,"College graduate"
"27",118159073252,0.912291289509418,43,22,"PA","42003",0.989343780587473,"Republican","Democrat","Somewhat disapprove","rep","Independent","Moderate","Inflation",NA,60,"white","male",FALSE,"Some college"
"28",118159846490,0.909504750734754,43,22,"PA","42003",0.990960564551253,"Democrat","Democrat","Somewhat approve","dem","Democrat","Moderate","Guns",NA,50,"white","female",FALSE,"Some college"
"29",118157649525,0.377056135653364,43,22,"PA","42003",0.988776891050894,"Republican","Republican","Strongly disapprove","rep","Republican","Very conservative","Abortion",NA,57,"white","male",FALSE,"College graduate"
"30",118157755516,0.809350380334742,43,22,"PA","42003",0.690767582600391,"Other/Would not Vote","Republican","Strongly disapprove","rep","Independent","Moderate","Inflation",NA,49,"white","female",FALSE,"Some college"
"31",118157979616,0.718411717635451,43,22,"PA","42003",0.989270693370641,"Democrat","Democrat","Strongly approve","dem","Democrat","Liberal","Climate change",NA,78,"white","male",FALSE,"Post graduate degree"
"32",118158318516,0.270882710001364,43,22,"PA","42003",0.742955587129387,"Other/Would not Vote","Other/Would not Vote","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,70,"white","female",FALSE,"Post graduate degree"
"33",118158575148,0.361223101210782,43,22,"PA","42003",0.990734038519488,"Republican","Republican","Strongly disapprove","rep","Independent","Moderate","Crime and safety",NA,71,"white","female",FALSE,"Post graduate degree"
"34",118158867826,0.912291289509418,43,22,"PA","42003",0.989343780587473,"Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,63,"white","male",FALSE,"Some college"
"35",118158096215,0.185029665613567,43,22,"PA","42003",0.0386744895917207,NA,NA,"Strongly disapprove","dnv/other","Independent","Liberal","Crime and safety",NA,29,"black","female",FALSE,"Did not complete high school"
"36",118158574176,0.407561144661539,43,22,"PA","42003",0.983968336476295,"Democrat","Democrat","Strongly approve","dem","Democrat","Moderate","Inflation",NA,62,"black","female",FALSE,"College graduate"
"37",118157732070,0.27147177723838,43,22,"PA","42003",0.704284105824013,"Democrat","Democrat","Somewhat disapprove","dem","Independent","Moderate","Climate change",NA,55,"white","male",FALSE,"College graduate"
"38",118157940442,0.360641907538576,43,22,"PA","42003",0.609184618617373,"Democrat","Democrat","Somewhat approve","dem","Democrat","Moderate","Guns",NA,36,"white","female",FALSE,"College graduate"
"39",118157707923,0.376235744746595,43,22,"PA","42003",0.991265633788072,"Democrat","Democrat","Strongly approve","dem","Democrat","Moderate","Abortion",NA,60,"white","female",FALSE,"College graduate"
"40",118157579225,0.380730987677523,43,22,"PA","42003",0.987737237158546,"Republican","Other/Would not Vote","Strongly disapprove","dem","Republican","Moderate","Inflation",NA,61,"white","male",FALSE,"Post graduate degree"
